,prix,Taxes_municipales,Taxes_scolaires,Electricite,Assurances,ville,region,adresse,chambres,salle_de_bain,salle_d_eau,etage,Aire_habitable,Taille_du_terrain
918,450000$,"2837,25$","225,48$","2198,52$","1100,00$",Drummondville (Drummondville),Centre-du-Québec,"443-445, rue Surprenant",6,2,,,,7 200 pi² (668.9 m²)
919,715000$,"2727,61$","258,23$","1200,00$",,Bromont,Estrie,"311, rue de Yamaska",4,1,2,3,"2,052 pi² (190.64 m²)","5,042 pi² (468.42 m²)"
920,319000$,,,,,Beauport,Québec Rive-Nord,"821, rue Ulysse-Ste-Marie",3,1,1,2,,
921,64900$,,,,,St-Gabriel-De-Valcartier,Québec Rive-Nord,rue Jacques-Giroux,,,,,,"30,000.09 pi² (2,787.1 m²)"
922,559000$,"2502,98$","252,35$","3214,00$","3842,00$",St-Hippolyte,Laurentides,"25, rue du Cerf",3,1,2,1,"1,344 pi² (124.86 m²)","46,223.46 pi² (4,294.3 m²)"
923,482500$,"2352,00$","300,00$","790,00$",,Ste-Julie,Montérégie (Rive-Sud Montréal),"1068, rue des Iris",4,2,,1,1 040 pi² (96.62 m²),6 081 pi² (564.94 m²)
924,467000$,"2992,00$","278,00$","3371,00$","1860,00$",St-Romuald,Québec Rive-Sud (Lévis),"128, rue du Curé-Dupont",5,1,1,1,"1,321.7 pi² (122.79 m²)","23,350 pi² (2,169.29 m²)"
925,297775$,,,,,Ste-Catherine-de-la-JC,Québec Rive-Nord,"25, rue Guy-Linteau",3,1,1,1,,3 276 pi² (304.35 m²)
926,372295$,,,,,Ste-Catherine-de-la-JC,Québec Rive-Nord,"76, Rue Robert-Laplante",3,1,1,2,,"6,738 pi² (625.98 m²)"
928,303650$,,,,,Ste-Catherine-de-la-JC,Québec Rive-Nord,"22, rue Guy-Linteau",3,1,1,1,,"3,896 pi² (361.95 m²)"
929,339000$,"2565,00$","240,00$","1350,00$",,St-Nicolas,Québec Rive-Sud (Lévis),"907, rue du Poitou",3,2,,1,"1,130 pi² (104.98 m²)","5,700 pi² (529.55 m²)"
930,396000$,"2317,47$","175,07$","900,00$",,Magog,Estrie,"918, croissant du Jaseur",3,1,1,2,986 pi² (91.6 m²),"8,902 pi² (827.02 m²)"
931,489000$,"1524,00$","135,00$",,,St-Donat,Lanaudière,"369, chemin du Lac-Barineau Nord",2,1,1,1,"1,238 pi² (115.01 m²)","57,415 pi² (5,334.03 m²)"
932,399000$,"2716,00$","240,00$","403,00$",,Mascouche,Lanaudière,"101-400, place du Louvre",2,1,,1,"1,148.51 pi² (106.7 m²)",
933,339900$,,,,,Val-Bélair,Québec Rive-Nord,"1465, l'Esquif",3,1,1,2,"1,448 pi² (134.52 m²)","3,920 pi² (364.18 m²)"
934,370000$,"3313,91$","244,21$","2064,00$","1331,98$",Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,"4213, rue de la Manche",3,2,,1,"1,020 pi² (94.76 m²)","13,013.57 pi² (1,209 m²)"
935,379000$,"1877,62$","169,27$","900,00$",,Mont-Tremblant (St-Jovite),Laurentides,"08-1205, rue de la Diable",2,1,,1,975.21 pi² (90.6 m²),
936,295000$,"1497,42$","144,93$",,,Longueuil (St-Hubert),Montérégie (Rive-Sud Montréal),"206-2410, rue Henriette-Céré",2,1,,2,990 pi² (91.97 m²),
937,625000$,,,,,Mercier,Montérégie (Rive-Sud Montréal),Jardins Philomène,3,1,1,2,"2,151 pi² (199.83 m²)",
938,279500$,"1686,00$","270,52$",,,Drummondville (Drummondville),Centre-du-Québec,"3200, rue des Jonquilles",3,1,1,1,800 pi² (74.32 m²),"4,133 pi² (383.97 m²)"
940,975000$,"3421,79$","345,98$","2000,00$","750,00$",Ste-Adèle,Laurentides,"1149, croissant de la Sablière",3,1,1,1,"1,600 pi² (148.64 m²)","48,596 pi² (4,514.72 m²)"
941,125000$,"850,92$","6,48$","1320,00$","1250,00$",Val-David,Laurentides,"8, chemin de la Vallée-Bleue",1,1,,1,506 pi² (47.01 m²),"1,700 pi² (157.94 m²)"
942,100000$,,,,,St-Mathieu-Du-Parc,Mauricie,", chemin de la Presqu'île",,,,,,129 029 pi² (11 987.19 m²)
943,548999$,"3048,40$","281,84$","1896,00$","1025,00$",Repentigny (Le Gardeur),Lanaudière,"61, rue Latendresse",4,2,,1,51.12x26.08 pi (15.58x7.95 m),60.17x100.00 pi (18.34x30.48 m)
944,409900$,"2278,00$","271,00$","850,00$",,Rosemont / La Petite Patrie,Montréal / l'Île,"4545, rue Euclide-Brien",2,1,,1,915 pi² (85.01 m²),
945,179000$,"2028,00$","70,00$",,,Baie-Comeau,Côte-Nord,"42, avenue Desjardins",2,1,,1,875 pi² (81.29 m²),"4,261 pi² (395.86 m²)"
946,697000$,"4500,00$","750,00$",,,Esterel,Laurentides,"91, chemin Dupuis",5,3,,2,,150.00x181.56 pi (45.72x55.34 m)
947,495000$,,,,,Varennes,Montérégie (Rive-Sud Montréal),"2330, chemin du Pays-Brûlé",,,,,,"24,572 pi² (2,282.81 m²)"
948,700000$,,,,,St-Sylvestre,Chaudière-Appalaches,"441, route du Moulin",,,,,,1 pi² (0.09 m²)
949,920000$,,,,,Gatineau (Aylmer),Outaouais,"370, rue du Prado",6,3,,,,"4,600 pi² (427.35 m²)"
950,290000$,"2210,00$","145,00$",,,Repentigny (Repentigny),Lanaudière,"4-1357, boulevard Iberville",2,1,,1,898.79 pi² (83.5 m²),"1,627.50 pi² (151.2 m²)"
952,397000$,"2124,36$","254,72$","372,78$",,Rosemont / La Petite Patrie,Montréal / l'Île,"505-2540, place Pierre-Falardeau",1,1,,1,752 pi² (69.86 m²),
953,239000$,,"100,00$",,,Laval-des-Rapides,Laval,"106-1380, boulevard de la Concorde Ouest",1,1,,1,560 pi² (52.03 m²),
954,529900$,"2906,84$","243,95$","2940,00$",,Mascouche,Lanaudière,"591, rue Crépeau",6,2,,2,930 pi² (86.4 m²),"6,230 pi² (578.79 m²)"
955,259000$,"1965,00$","151,00$",,,Lebourgneuf,Québec Rive-Nord,"1176, rue de l'Islet",3,1,1,2,"1,119 pi² (103.96 m²)",
956,479000$,"2330,00$","500,00$","1000,00$",,Ste-Julie,Montérégie (Rive-Sud Montréal),"1537, rue des Jonquilles",4,2,,1,990.28 pi² (92 m²),"7,914.70 pi² (735.3 m²)"
957,574500$,"2460,00$","294,00$","1058,00$","599,00$",Rosemont / La Petite Patrie,Montréal / l'Île,"101-4950, boulevard de l'Assomption",2,1,,1,923 pi² (85.75 m²),
958,440000$,"1964,00$","270,00$","700,00$",,Côte-des-Neiges / Notre-Dame-de-Grâce,Montréal / l'Île,"601-4265, avenue Prince-of-Wales",3,1,,1,"1,029 pi² (95.6 m²)",
959,255000$,"1859,07$","140,29$","2200,00$","431,00$",Charlesbourg (ND-Des-Laurentides),Québec Rive-Nord,"1051, rue Jacques-Bédard",2,1,,1,700 pi² (65.03 m²),5 013.83 pi² (465.8 m²)
960,729000$,"4623,00$","485,00$","3600,00$","1154,00$",Drummondville (Drummondville),Centre-du-Québec,"1145, rue Morse",4,2,1,2,"2,650 pi² (246.19 m²)","7,200 pi² (668.9 m²)"
961,312000$,"3162,12$","200,00$","1861,80$","904,00$",Jonquière (Arvida),Saguenay-Lac-Saint-Jean,"3197, rue du Roi-Georges",3,2,,1,24x34 pi (7.32x10.36 m),"8,829.64 pi² (820.3 m²)"
962,559000$,"900,00$","200,00$","950,00$","1100,00$",Le Plateau-Mont-Royal,Montréal / l'Île,"4427, rue de Mentana",2,1,1,3,887 pi² (82.4 m²),20.24x46.59 pi (6.17x14.20 m)
964,345000$,"2338,44$","175,41$","1380,00$","380,00$",Sherbrooke (Jacques-Cartier),Estrie,"848, rue du Chardonnay",2,1,1,1,"1,853.54 pi² (172.2 m²)",
965,549000$,"2207,00$","294,00$","2400,00$",,Boucherville,Montérégie (Rive-Sud Montréal),"303, rue Jean-Desy",4,1,1,2,1 216.32 pi² (113 m²),50x72.11 pi (15.24x21.98 m)
966,525000$,"2686,00$","345,00$",,,Rivière des Prairies,Montréal / l'Île,"8490, avenue Pierre-Martin",2,1,,1,"1,150 pi² (106.84 m²)","6,983 pi² (648.74 m²)"
967,509800$,,,,,Hemmingford,Montérégie (Rive-Sud Montréal),avenue McNaughton - Par Habitations Clermont Inc.,2,1,,1,1 133 pi² (105.26 m²),7 213 pi² (670.11 m²)
968,419900$,,,,,St-Rémi,Montérégie (Rive-Sud Montréal),"C-1015, rue de la Pommeraie - Par Gestion Dclic Inc.",4,1,1,2,,"1,736.2 pi² (161.3 m²)"
969,484900$,,,,,St-Jérôme (Lafontaine),Laurentides,"2207-2209, rue de la Fileuse - Quartier Hämo - Par Habitations Noveco",3,1,1,2,"2,000 pi² (185.81 m²)",
970,729000$,"2800,00$","280,00$","1887,00$",,Orford,Estrie,"84, rue des Orioles",4,1,1,1,"1,444 pi² (134.15 m²)","8,033.11 pi² (746.3 m²)"
971,545000$,"3646,00$","318,00$","3310,00$",,L'Ile-Perrot,Montérégie Ouest,"9, rue des Lilas",3,2,1,2,"1,276 pi² (118.54 m²)","6,000 pi² (557.42 m²)"
972,439000$,"1684,53$","193,64$","706,20$","500,00$",Le Plateau-Mont-Royal,Montréal / l'Île,"5052, avenue de l'Hôtel-de-Ville",1,1,,1,788 pi² (73.21 m²),211.08 pi² (19.61 m²)
973,498500$,"3221,00$","246,00$","1741,00$","1817,00$",Gatineau (Aylmer),Outaouais,"206, avenue du Grand-Calumet",4,1,1,2,1 001.04 pi² (93 m²),7 014 pi² (651.62 m²)
974,435000$,"3273,46$","283,99$","2500,00$",,Montchatel,Québec Rive-Nord,"13545, rue de la Marianne",4,2,,1,1 140.97 pi² (106 m²),7 810.29 pi² (725.6 m²)
976,510000$,"3295,00$","268,00$",,"1000,00$",St-Amable,Montérégie (Rive-Sud Montréal),"306-308, rue Dolorès",4,2,2,,,"4,101.05 pi² (381 m²)"
977,415000$,"3230,93$","307,22$","1865,80$",,St-Romuald,Québec Rive-Sud (Lévis),"2841, rue de Lusignan",4,1,2,2,"1,338.17 pi² (124.32 m²)","6,430.36 pi² (597.4 m²)"
978,645000$,"2033,99$","303,92$",,,Mirabel (St-Augustin),Laurentides,"8830-8832, rue Joseph-Marcotte",4,2,,,,61.68x99.61 pi (18.8x30.36 m)
979,999999$,,,,,Ste-Thérèse-De-La-Gatineau,Outaouais,"124, chemin de la Baie Davis",07,3,,2,"2,040 pi² (189.52 m²)","43,560.00 pi² (1 acre)"
980,485000$,"3517,32$","355,00$","1876,03$",,Beauport,Québec Rive-Nord,"99, rue Brindamour",3,1,1,2,"1,456 pi² (135.27 m²)","5,069 pi² (470.93 m²)"
981,465900$,,,,,St-Jérôme (St-Jérôme),Laurentides,Rue Bélanger - Le 5e Quartier - Maisons Quadrex - Par Groupe TRÉMÄ,3,1,1,2,"2,403 pi² (223.25 m²)",
982,738000$,"3421,32$","404,48$",,"1680,00$",Mercier / Hochelaga / Maisonneuve,Montréal / l'Île,"2562-2564, rue de Cadillac",4,3,,,,"2,062 pi² (191.57 m²)"
983,599900$,,,,,Le Sud-Ouest,Montréal / l'Île,"208-11, rue Charlevoix",1,1,1,2,937 pi² (87.05 m²),
984,1195000$,"4892,29$","603,44$","380,05$","1977,26$",Villeray / St-Michel / Parc-Extension,Montréal / l'Île,"7955-7961, rue Drolet",4,4,,,,"2,538.13 pi² (235.8 m²)"
985,539000$,,,,,Sutton,Estrie,"127, chemin de la Vallée",4,2,,1,"1,274 pi² (118.36 m²)","50,266.39 pi² (4,669.9 m²)"
986,80000$,,,,,Jonquière (Shipshaw),Saguenay-Lac-Saint-Jean,Chemin des Loutres,,,,,,"20,000 pi² (1,858.06 m²)"
988,525000$,"2494,01$","295,12$","1254,32$",,Le Sud-Ouest,Montréal / l'Île,"101-1970, rue Saint-Jacques",2,1,,1,760 pi² (70.61 m²),887 pi² (82.4 m²)
989,144000$,,,,,St-Côme,Lanaudière,"., Coin empire - rue des Pommiers",,,,,,"32,000 pi² (2,972.9 m²)"
990,144000$,,,,,St-Côme,Lanaudière,"0, Coin empire - rue des Pommiers",,,,,,"32,000 pi² (2,972.9 m²)"
991,199000$,,,,,St-Côme,Lanaudière,"0, Coin empire - rue des Pommiers",,,,,,"50,000 pi² (4,645.15 m²)"
992,239000$,"2760,00$","102,00$","2208,00$","1860,00$",St-Nazaire-de-Dorchester,Chaudière-Appalaches,78-80 rue Principale,3,1,1,2,"4,420 pi² (410.63 m²)","22,324 pi² (2,073.97 m²)"
993,229500$,"3514,35$",,,,Jonquière (Jonquière),Saguenay-Lac-Saint-Jean,"3851-3855, rue Sainte-Cécile",6,3,,,,"10,800 pi² (1,003.35 m²)"
994,1229000$,"4800,00$","405,00$","2000,00$",,St-François-Du-Lac,Centre-du-Québec,"74, rang de l'Île-Saint-Jean",7,2,,2,"1,593.06 pi² (148 m²)","26,000 pi² (2,415.48 m²)"
995,199000$,,,,,St-Côme,Lanaudière,"0, Coin Empire - Rue des Pommiers",,,,,,"50,000 pi² (4,645.15 m²)"
996,240000$,"853,96$",,,,Ste-Adèle,Laurentides,", rue du Surplomb",,,,,,"118,513 pi² (11,010.22 m²)"
997,750000$,"3850,00$","454,00$","2200,00$","1500,00$",St-Vincent-de-Paul,Laval,"1050, rue Dufault",4,1,1,2,"2,519.51 pi² (234.07 m²)",34.3x110 pi (10.45x33.53 m)
998,715000$,"2669,88$","274,09$","2200,00$",,Granby,Estrie,"79, rue de Lacolle",6,2,1,2,"1,680 pi² (156.08 m²)",179.66x197.11 pi (54.76x60.08 m)
1000,410000$,"2036,87$","178,76$","360,00$",,Carignan,Montérégie (Rive-Sud Montréal),"3109, rue des Galets",2,1,,1,980 pi² (91.04 m²),"1,068 pi² (99.22 m²)"
1001,305000$,"1309,00$","76,00$","840,00$",,Magog,Estrie,"312-2308, place du Village",1,1,,1,620 pi² (57.6 m²),
1002,499900$,"2670,00$","220,00$","1100,00$",,St-Jérôme (Bellefeuille),Laurentides,"673, rue de Vincennes",2,1,1,2,"1,506.95 pi² (140 m²)","3,552.09 pi² (330 m²)"
1003,289000$,"2235,06$","146,53$","642,96$","620,21$",Sorel-Tracy,Montérégie (Rive-Sud Montréal),"5-4701, rue des Berges-du-Saint-Laurent",2,1,,3,902 pi² (83.8 m²),"21,057.43 pi² (1,956.3 m²)"
1004,39000$,,,,,Mont-Laurier,Laurentides,rue des Daviault,,,,,,
1005,299000$,,,,,Ste-Clotilde-De-Chateauguay,Montérégie (Rive-Sud Montréal),rue des Colibris - Par Gestion C. Clermont Inc.,2,1,1,1,1 384 pi² (128.58 m²),3 200 pi² (297.29 m²)
1006,404000$,"3207,00$","303,00$","1343,00$",,Beauport,Québec Rive-Nord,"699, rue Michel-Baudin",3,1,1,2,1 660 pi² (154.22 m²),6 627.34 pi² (615.7 m²)
1007,370000$,"2458,00$","186,00$","620,00$","476,00$",Beloeil,Montérégie (Rive-Sud Montréal),"138, avenue Carmen-Bienvenu",2,1,,1,981 pi² (91.14 m²),9 000 pi² (836.13 m²)
1008,750000$,"3882,45$","318,68$","2300,00$","1255,80$",Orford,Estrie,"75, rue de la Crête",4,2,,1,"1,250 pi² (116.13 m²)","16,241 pi² (1,508.84 m²)"
1009,360000$,"2946,50$","249,86$","1800,00$","725,00$",L'Ancienne-Lorette,Québec Rive-Nord,"1743, rue Lacordaire",4,2,,1,952 pi² (88.44 m²),"5,000 pi² (464.52 m²)"
1010,205000$,"2757,70$","105,00$","2853,00$","750,00$",East Broughton,Chaudière-Appalaches,"196, rue Beaudoin",3,1,1,1,"1,320 pi² (122.63 m²)","11,737 pi² (1,090.4 m²)"
1012,399900$,"1825,92$","134,04$","1100,00$","568,32$",St-Jérôme (Bellefeuille),Laurentides,"1194, boulevard Maisonneuve",2,1,1,2,"1,267 pi² (117.71 m²)","2,000 pi² (185.81 m²)"
1013,365000$,"2585,00$",,,,Gatineau (Gatineau),Outaouais,"187, rue de Chateaufort",3,1,1,2,1 200 pi² (111.48 m²),3 000 pi² (278.71 m²)
1014,699000$,"2388,68$","352,52$","1626,00$","1267,00$",St-Jean-sur-Richelieu (St-Jean-sur-Richelieu),Montérégie (Rive-Sud Montréal),"834, chemin du Grand-Bernier Sud",3,1,1,2,"2,014 pi² (187.11 m²)","46,200 pi² (4,292.12 m²)"
1015,550000$,"2194,00$","280,68$","3072,48$",,Longueuil (Vieux-Longueuil),Montérégie (Rive-Sud Montréal),"404, boulevard Wilson",5,2,1,2,"1,202.97 pi² (111.76 m²)","7,049.28 pi² (654.9 m²)"
1016,164999$,,,,,St-Sauveur,Laurentides,", chemin Lac-Des-Becs-Scie Est",,,,,,"36,789.97 pi² (3,417.9 m²)"
1017,839000$,"3335,85$","411,85$","3800,00$",,Chambly,Montérégie (Rive-Sud Montréal),"1, rue Charles-Allard",4,2,1,2,1 655 pi² (153.75 m²),6 600 pi² (613.16 m²)
1018,799999$,"3857,32$","455,69$","2000,00$","750,00$",Ste-Rose,Laval,"1058, rue Léo-Ayotte",4,2,,2,"1,662 pi² (154.4 m²)","3,960.04 pi² (367.9 m²)"
1019,470000$,,,,,Bromont,Estrie,"102-141, rue de Joliette",3,2,,1,"1,356 pi² (125.98 m²)",
1020,654995$,,,,,Chambly,Montérégie (Rive-Sud Montréal),"1, rue Galipeau - Par Chantignole Constructeur d'Habitations Inc.",4,2,,1,,4 699.5 pi² (436.6 m²)
1021,99000$,,,,,St-Calixte,Lanaudière,route 335,,,,,,
1022,549000$,"3676,00$","285,00$",,,Gatineau (Gatineau),Outaouais,"544, rue des Pluviers",5,2,,1,1 485 pi² (137.96 m²),29 593.22 pi² (2 749.3 m²)
1024,669900$,"5070,00$","336,00$","700,00$",,Gatineau (Aylmer),Outaouais,"389, rue Gérard-Binette",4,2,1,2,"1,475 pi² (137.03 m²)","4,867.44 pi² (452.2 m²)"
1025,487000$,"2582,00$","305,00$","600,00$","260,00$",Rosemont / La Petite Patrie,Montréal / l'Île,"405-1, avenue Shamrock",1,1,,4,575 pi² (53.42 m²),
1026,270000$,"1380,23$","131,07$",,,Montréal-Nord,Montréal / l'Île,"402-10011, boulevard Pie IX",1,1,,4,695.35 pi² (64.6 m²),
1027,434900$,,,,,St-Jérôme (St-Jérôme),Laurentides,Rue Bélanger - Le 5e Quartier - Maisons Jumelées - Par Groupe TRÉMÄ,2,1,1,2,"1,594 pi² (148.09 m²)",
1028,350000$,"2099,00$","170,00$","3600,00$","2200,00$",Charette,Mauricie,"341, rang Saint-Joseph Nord",4,1,1,2,"1,627.50 pi² (151.2 m²)","66,413.33 pi² (6,170 m²)"
1029,928000$,,,,,Ste-Adèle,Laurentides,"2005, rue Jack-Rabbit (entrée située face au Sommet Olympia - La Forêt des 4 Versants -  Par Groupe TRÉMÄ",3,1,1,1,"1,523 pi² (141.49 m²)","54,000 pi² (5,016.76 m²)"
1030,325000$,,"261,39$",,,Saint-Sauveur,Québec Rive-Nord,"528, rue Saint-Ignace",3,1,1,2,1 202 pi² (111.67 m²),1 991.32 pi² (185 m²)
1031,399000$,"3638,00$","240,10$","2317,00$","1197,00$",Chicoutimi (Chicoutimi-Nord),Saguenay-Lac-Saint-Jean,"272, rue la Chesnaye",3,2,,1,1 156 pi² (107.4 m²),7 400 pi² (687.48 m²)
1032,524900$,,,,,St-Jérôme (St-Antoine),Laurentides,"1688, rue Wilfrid-Pelletier",5,1,,1,1 200 pi² (111.48 m²),6 984 pi² (648.83 m²)
1033,350000$,"1047,05$","147,25$",,,Mirabel (St-Augustin),Laurentides,"9735, rue Yvon-Paiement",2,1,,1,"1,085 pi² (100.8 m²)",
1034,430000$,"1971,05$","238,01$","1203,81$",,St-Germain-De-Grantham,Centre-du-Québec,"233, rue Veilleux",3,2,,1,"1,600 pi² (148.64 m²)","12,616.37 pi² (1,172.1 m²)"
1036,325000$,"2509,94$","220,50$","2448,00$",,Val-Bélair,Québec Rive-Nord,"1325, rue Gaboury",4,2,,1,936 pi² (86.96 m²),5 999.80 pi² (557.4 m²)
1037,334900$,,,,,Stoneham,Québec Rive-Nord,"105, chemin des Ruisselets - Domaine de la Fable - PAR Construction McKinley",3,1,1,2,"1,244 pi² (115.57 m²)","1,516 pi² (140.84 m²)"
1038,314995$,"2466,76$","269,00$","2580,00$","900,00$",Alma,Saguenay-Lac-Saint-Jean,"402, rue de Versailles",4,2,,1,879 pi² (81.66 m²),6 300 pi² (585.29 m²)
1039,535000$,,,,,Boischatel,Québec Rive-Nord,"1, de la Sapinière",3,1,1,2,1 612 pi² (149.76 m²),6 135.43 pi² (570 m²)
1040,464900$,,,,,St-Augustin-De-Desmaures,Québec Rive-Nord,"1, rue du Boisé - Boisé St-Augustin - PAR Construction McKinley",3,1,1,2,"1,540 pi² (143.07 m²)","8,941 pi² (830.65 m²)"
1041,474900$,"2500,00$","500,00$","2000,00$","1000,00$",Ste-Marthe-Sur-Le-Lac,Laurentides,"239, rue de la Tournée",2,1,1,1,936 pi² (86.96 m²),"12,451 pi² (1,156.74 m²)"
1042,410000$,"2639,27$","216,54$","2137,00$","1371,00$",Sherbrooke (Jacques-Cartier),Estrie,"2713, rue Beaudry",3,2,,3,1 470 pi² (136.57 m²),7 000 pi² (650.32 m²)
1043,300000$,,,,,Limoilou,Québec Rive-Nord,"451, 9e rue",2,1,,1,"1,105 pi² (102.66 m²)",
1044,579000$,"2844,11$","334,64$","2476,00$","830,00$",Verchères,Montérégie (Rive-Sud Montréal),"69, rue André-Beauregard",3,1,1,2,1 440 pi² (133.78 m²),6 275 pi² (582.97 m²)
1045,379900$,"1700,00$","194,00$","505,00$","360,00$",Griffintown,Montréal / l'Île,"406-1375, rue des Bassins",1,1,,1,463 pi² (43.01 m²),
1046,845000$,"4295,00$","512,00$",,,Duvernay,Laval,"1034, rue Condé",4,2,,2,"2,400 pi² (222.97 m²)","7,700 pi² (715.35 m²)"
1048,230000$,"2088,48$","145,00$","2400,00$",,Val-d'Or,Abitibi-Témiscamingue,"320, 16e Rue",3,1,1,2,,"4,050 pi² (376.26 m²)"
1049,339000$,"1870,00$","185,31$","1248,00$",,Vimont,Laval,"201-2010, montée Monette",2,1,,1,"1,024 pi² (95.13 m²)",
1050,380000$,"2020,00$","142,00$",,,Sherbrooke (Fleurimont),Estrie,"1741, rue Brûlotte",4,2,,2,1 110 pi² (103.12 m²),3 600 pi² (334.45 m²)
1051,120000$,"759,46$","15,21$",,,Warden,Estrie,", rue Frédérica",,,,,,71 924 pi² (6 681.96 m²)
1052,579000$,"2948,00$","350,00$",,"1740,00$",Repentigny (Repentigny),Lanaudière,"556, rue du Manoir",3,1,1,,,592 pi² (55 m²)
1053,419999$,"4606,00$","252,00$",,,La Baie,Saguenay-Lac-Saint-Jean,"1642-1644-1646, rue des Cerisiers",3,2,,,,98.43x65.62 pi (30x20 m)
1054,419000$,"1400,00$","202,00$","1370,00$","25,00$",Mascouche,Lanaudière,"2500, avenue de la Gare",3,1,1,2,"1,210.94 pi² (112.5 m²)",
1055,375000$,"2985,89$","205,93$","1402,15$",,Marieville,Montérégie (Rive-Sud Montréal),"1083, rue Gladu",3,2,,1,40.06x25.07 pi (12.21x7.64 m),62.01x125.00 pi (18.9x38.1 m)
1056,425000$,"1836,80$","135,26$",,,Mercier,Montérégie (Rive-Sud Montréal),"2, rue Gaétan",4,2,,2,1 463.76 pi² (135.99 m²),5 256 pi² (488.3 m²)
1057,679000$,"3268,96$","301,84$","1500,00$","600,00$",St-Lazare,Montérégie Ouest,"938, rue des Grillons",3,2,1,2,"1,459 pi² (135.55 m²)","3,552 pi² (329.99 m²)"
1058,529000$,"3129,00$","358,00$",,"874,00$",Rouyn-Noranda (Granada),Abitibi-Témiscamingue,"421, route des Pionniers",3,2,,1,1 100 pi² (102.19 m²),75 690 pi² (7 031.83 m²)
1060,824000$,"3913,00$","381,00$","2539,00$","1708,00$",Les Éboulements,Charlevoix,"526, chemin Marie-Roussin",4,2,,2,975 pi² (90.58 m²),"44,286 pi² (4,114.3 m²)"
1061,565000$,"2622,64$","238,19$",,,Beloeil,Montérégie (Rive-Sud Montréal),"852, rue Bourgeois",4,2,,1,"1,010.09 pi² (93.84 m²)","5,353.97 pi² (497.4 m²)"
1062,729900$,"4950,00$","510,00$",,,Drummondville (Drummondville),Centre-du-Québec,"5415, rue Mailhot",4,2,1,2,"3,080 pi² (286.14 m²)","15,000 pi² (1,393.55 m²)"
1063,498000$,"1550,00$","100,00$","1500,00$","1000,00$",Mont-Carmel,Bas-Saint-Laurent,"308, rue des Bois Francs",3,1,,2,1 664 pi² (154.59 m²),2 740 000 pi² (254 554.33 m²)
1064,557500$,"3883,23$","364,20$","3095,37$","1537,00$",L'Ancienne-Lorette,Québec Rive-Nord,"1953, rue des Douves",5,2,1,2,"1,646 pi² (152.92 m²)","6,979.32 pi² (648.4 m²)"
1065,230000$,"1643,00$","127,45$","2436,00$","974,00$",Drummondville (Drummondville),Centre-du-Québec,"802, rue Saint-Alfred",3,1,1,2,"1,100 pi² (102.19 m²)",91.86x52.49 pi (28x16 m)
1066,40000$,,,,,L'Ascension,Laurentides,"X, chemin des Îles",,,,,,274 551.83 pi² (25 506.7 m²)
1067,399000$,"2967,56$","259,28$","1850,71$","1499,84$",Charlesbourg,Québec Rive-Nord,"4349, rue des Martinets",3,2,,1,"1,094.69 pi² (101.7 m²)","6,889.98 pi² (640.1 m²)"
1068,435000$,"3927,64$","271,93$",,,Limoilou,Québec Rive-Nord,"2347-2351-2355, avenue de la Ronde",6,3,,,,"1,866 pi² (173.36 m²)"
1069,189000$,"1832,25$","84,41$","1555,00$","1380,00$",Ste-Justine,Chaudière-Appalaches,"166, rue Royer",4,1,1,2,1 566 pi² (145.49 m²),11 616 pi² (1 079.16 m²)
1070,488000$,"2855,48$","273,41$","3300,00$","1200,00$",Saint-Gédéon,Saguenay-Lac-Saint-Jean,"133, rue Tremblay",4,2,1,1,"1,195 pi² (111.02 m²)","10,150.37 pi² (943 m²)"
1072,599000$,"1789,71$","180,29$",,,Ste-Victoire-De-Sorel,Montérégie (Rive-Sud Montréal),"259, rang Rhimbeault",3,1,,1,,"462,848.15 pi² (4.3 hectares)"
1073,389000$,"2580,88$","224,26$","3096,72$","1220,40$",Charlesbourg,Québec Rive-Nord,"252, 81e Rue Est",2,1,,1,"1,049.48 pi² (97.5 m²)","5,949.86 pi² (552.76 m²)"
1074,530000$,"3047,00$","298,00$","250,00$","1000,00$",Chambly,Montérégie (Rive-Sud Montréal),"1424-1426, boulevard Franquet",4,2,1,,,5 704.87 pi² (530 m²)
1075,329900$,"2537,00$","174,00$","1800,00$","600,00$",Gatineau (Gatineau),Outaouais,"80, rue Mirabel",1,1,,1,"1,200 pi² (111.48 m²)","5,995.50 pi² (557 m²)"
1076,259900$,"1484,00$","114,00$","1200,00$","360,00$",Gatineau (Aylmer),Outaouais,"6-91, rue Pearson",2,1,,3,"1,050 pi² (97.55 m²)","1,569.38 pi² (145.8 m²)"
1077,480000$,"2219,49$","239,10$","540,00$","525,00$",Rivière des Prairies,Montréal / l'Île,"12383, rue Voltaire",3,1,1,2,"1,200 pi² (111.48 m²)","3,009.59 pi² (279.6 m²)"
1078,229900$,"2027,00$","144,00$","1200,00$","480,00$",Gatineau (Gatineau),Outaouais,"3-59, rue du Coteau",3,1,,1,"1,200 pi² (111.48 m²)","2,464.94 pi² (229 m²)"
1079,595000$,"5196,00$","204,00$","1125,00$","300,00$",Bromont,Estrie,"304-650, rue de Bagot",2,1,,2,862.19 pi² (80.1 m²),
1080,385000$,"1789,52$","204,49$","500,00$",,Villeray / St-Michel / Parc-Extension,Montréal / l'Île,"4-8410, rue Saint-Dominique",1,1,1,1,617 pi² (57.32 m²),
